PREPROCESSOR #include<stdio.h>
KEYWORD void
IDENTIFIER foo
SEPARATOR (
KEYWORD int
IDENTIFIER a
SEPARATOR )
SEPARATOR {
KEYWORD if
SEPARATOR (
IDENTIFIER a
OPERATOR ==
NUMBER 0
SEPARATOR )
SEPARATOR {
KEYWORD return
IDENTIFIER b
SEPARATOR ;
SEPARATOR }
SEPARATOR }
KEYWORD int
IDENTIFIER main
SEPARATOR (
SEPARATOR )
SEPARATOR {
KEYWORD int
IDENTIFIER a
OPERATOR =
NUMBER 10
SEPARATOR ;
KEYWORD int
IDENTIFIER a
OPERATOR =
NUMBER 5
SEPARATOR ;
KEYWORD int
IDENTIFIER b
OPERATOR =
NUMBER 10
SEPARATOR ;
KEYWORD int
IDENTIFIER c
SEPARATOR ;
KEYWORD return
NUMBER 0
SEPARATOR ;
SEPARATOR }
